filename,heuristic_label,heuristic_confidence,heur_score_belly_pain,heur_score_burping,heur_score_discomfort,heur_score_hungry,heur_score_tired
strong_Infantcry_1.wav,hungry,0.3749999999765625,4.0,0.0,3.0,6.0,3.0
strong_Infantcry_102.wav,hungry,0.3103448275648038,3.5,2.0,1.5,4.5,3.0
strong_Infantcry_101.wav,belly_pain,0.3043478260604915,3.5,2.0,2.0,2.5,1.5
strong_Infantcry_100.wav,belly_pain,0.347826086926276,4.0,0.0,3.5,4.0,0.0
strong_Infantcry_103.wav,belly_pain,0.449999999955,4.5,0.0,3.0,2.5,0.0
strong_Infantcry_10.wav,belly_pain,0.3333333333015873,3.5,0.0,3.0,2.5,1.5
strong_Infantcry_104.wav,hungry,0.34615384612721894,3.5,2.0,1.5,4.5,1.5
strong_Infantcry_105.wav,hungry,0.34615384612721894,2.5,2.0,2.5,4.5,1.5
strong_Infantcry_108.wav,hungry,0.33333333330864195,2.5,2.0,1.5,4.5,3.0
strong_Infantcry_106.wav,hungry,0.521739130389414,2.5,0.0,1.5,6.0,1.5
strong_Infantcry_107.wav,belly_pain,0.347826086926276,4.0,2.0,1.5,1.0,3.0
strong_Infantcry_109.wav,belly_pain,0.3043478260604915,3.5,2.0,2.0,1.0,3.0
strong_Infantcry_11.wav,hungry,0.37499999996875,2.5,2.0,1.5,4.5,1.5
strong_Infantcry_110.wav,hungry,0.2812499999824219,2.5,2.0,2.5,4.5,4.5
strong_Infantcry_111.wav,hungry,0.2499999999861111,3.5,3.0,2.5,4.5,4.5
strong_Infantcry_113.wav,hungry,0.347826086926276,2.5,0.0,2.0,4.0,3.0
strong_Infantcry_112.wav,belly_pain,0.349999999965,3.5,2.0,2.0,1.0,1.5
strong_Infantcry_114.wav,hungry,0.39999999996,2.5,0.0,2.0,4.0,1.5
strong_Infantcry_115.wav,tired,0.28571428568707485,2.5,2.0,2.0,1.0,3.0
strong_Infantcry_116.wav,discomfort,0.33333333330864195,3.5,0.0,4.5,4.0,1.5
